Description	lab	award	annotation_type	assay_term_name	organism	biosample_ontology	experimental_input	aliases	software_used	disease_term_id
ENCODE-rE2G predictions for SJCRH30; Donor: ENCDO339AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005722/	ENCSR000FFJ	jesse-engreitz:encode_re2g_predictions_SJCRH30_ENCSR000FFJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for SJCRH30; Donor: ENCDO339AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005722/	ENCSR506QJJ	jesse-engreitz:encode_re2g_predictions_SJCRH30_ENCSR506QJJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for GM23248; Donor: ENCDO336AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005723/	ENCSR217TAW	jesse-engreitz:encode_re2g_predictions_GM23248_ENCSR217TAW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for MM.1S; Donor: ENCDO697GBW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005724/	ENCSR458LIB	jesse-engreitz:encode_re2g_predictions_MM.1S_ENCSR458LIB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for BE2C; Donor: ENCDO000ACQ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005725/	ENCSR000EMD	jesse-engreitz:encode_re2g_predictions_BE2C_ENCSR000EMD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for BE2C; Donor: ENCDO000ACQ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005725/	ENCSR009KWQ	jesse-engreitz:encode_re2g_predictions_BE2C_ENCSR009KWQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for LNCaP clone FGC; Donor: ENCDO000ACX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005726/	ENCSR000EKU	jesse-engreitz:encode_re2g_predictions_LNCaP_clone_FGC_ENCSR000EKU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for LNCaP clone FGC; Donor: ENCDO000ACX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005726/	ENCSR000EKT	jesse-engreitz:encode_re2g_predictions_LNCaP_clone_FGC_ENCSR000EKT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for LNCaP clone FGC; Donor: ENCDO000ACX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005726/	ENCSR000EPF	jesse-engreitz:encode_re2g_predictions_LNCaP_clone_FGC_ENCSR000EPF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for ELF-1; Donor: ENCDO524DZC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005901/	ENCSR678ILN	jesse-engreitz:encode_re2g_predictions_ELF-1_ENCSR678ILN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for KBM-7; Donor: ENCDO763VKT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005903/	ENCSR426IEA	jesse-engreitz:encode_re2g_predictions_KBM-7_ENCSR426IEA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for H7; Donor: ENCDO221AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005904/	ENCSR000EJO	jesse-engreitz:encode_re2g_predictions_H7_ENCSR000EJO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for H7; Donor: ENCDO221AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005904/	ENCSR000EMZ	jesse-engreitz:encode_re2g_predictions_H7_ENCSR000EMZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for urothelium cell line; Donor: ENCDO000ADS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005913/	ENCSR000ELU	jesse-engreitz:encode_re2g_predictions_urothelium_cell_line_ENCSR000ELU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for urothelium cell line; Donor: ENCDO000ADS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0005913/	ENCSR000ELV	jesse-engreitz:encode_re2g_predictions_urothelium_cell_line_ENCSR000ELV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for AG04450; Donor: ENCDO001AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0006270/	ENCSR000ELY	jesse-engreitz:encode_re2g_predictions_AG04450_ENCSR000ELY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for LoVo; Donor: ENCDO828APO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0006639/	ENCSR503BEM	jesse-engreitz:encode_re2g_predictions_LoVo_ENCSR503BEM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for OCI-LY7; Donor: ENCDO351AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0006711/	ENCSR489NAM	jesse-engreitz:encode_re2g_predictions_OCI-LY7_ENCSR489NAM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for DND-41; Donor: ENCDO183AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007074/	ENCSR903SKE	jesse-engreitz:encode_re2g_predictions_DND-41_ENCSR903SKE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iPS DF 19.7; Donor: ENCDO592CQV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007095/	ENCSR440QMR	jesse-engreitz:encode_re2g_predictions_iPS_DF_19.7_ENCSR440QMR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iPS DF 19.11; Donor: ENCDO592CQV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007096/	ENCSR383SNM	jesse-engreitz:encode_re2g_predictions_iPS_DF_19.11_ENCSR383SNM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iPS DF 4.7; Donor: ENCDO592CQV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007097/	ENCSR014FPY	jesse-engreitz:encode_re2g_predictions_iPS_DF_4.7_ENCSR014FPY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iPS DF 6.9; Donor: ENCDO592CQV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007098/	ENCSR261SMF	jesse-engreitz:encode_re2g_predictions_iPS_DF_6.9_ENCSR261SMF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for HAP-1; Donor: ENCDO763VKT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007598/	ENCSR620QNS	jesse-engreitz:encode_re2g_predictions_HAP-1_ENCSR620QNS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for HAP-1; Donor: ENCDO763VKT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007598/	ENCSR895KTN	jesse-engreitz:encode_re2g_predictions_HAP-1_ENCSR895KTN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for L1-S8; Donor: ENCDO315JDK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007599/	ENCSR314EZY	jesse-engreitz:encode_re2g_predictions_L1-S8_ENCSR314EZY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for L1-S8R; Donor: ENCDO315JDK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007600/	ENCSR746ZPP	jesse-engreitz:encode_re2g_predictions_L1-S8R_ENCSR746ZPP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for RWPE2; Donor: ENCDO135ZNV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007610/	ENCSR306BHE	jesse-engreitz:encode_re2g_predictions_RWPE2_ENCSR306BHE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for EH; Donor: ENCDO000AAG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007748/	ENCSR548MMD	jesse-engreitz:encode_re2g_predictions_EH_ENCSR548MMD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for EL; Donor: ENCDO000AAG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007749/	ENCSR691MQJ	jesse-engreitz:encode_re2g_predictions_EL_ENCSR691MQJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for ELR; Donor: ENCDO000AAG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007750/	ENCSR240TPI	jesse-engreitz:encode_re2g_predictions_ELR_ENCSR240TPI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for GM23338; Donor: ENCDO336AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007950/	ENCSR004SUL	jesse-engreitz:encode_re2g_predictions_GM23338_ENCSR004SUL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for GM23338; Donor: ENCDO336AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007950/	ENCSR108PUO	jesse-engreitz:encode_re2g_predictions_GM23338_ENCSR108PUO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iPS-NIHi11; Donor: ENCDO696YOM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007952/	ENCSR000EKJ	jesse-engreitz:encode_re2g_predictions_iPS-NIHi11_ENCSR000EKJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iPS-NIHi7; Donor: ENCDO016AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0007953/	ENCSR000EKK	jesse-engreitz:encode_re2g_predictions_iPS-NIHi7_ENCSR000EKK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for HFFc6; Donor: ENCDO737WWC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0009318/	ENCSR672EWY	jesse-engreitz:encode_re2g_predictions_HFFc6_ENCSR672EWY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for C803; Donor: ENCDO326AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0009495/	ENCSR000ELI	jesse-engreitz:encode_re2g_predictions_C803_ENCSR000ELI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for HCEC 1CT; Donor: ENCDO336HXJ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0009500/	ENCSR038XTK	jesse-engreitz:encode_re2g_predictions_HCEC_1CT_ENCSR038XTK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CWRU1; Donor: ENCDO298AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0009501/	ENCSR000EKI	jesse-engreitz:encode_re2g_predictions_CWRU1_ENCSR000EKI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for WTC11; Donor: ENCDO882UJI	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/cell_line_EFO_0009747/	ENCSR785ZUI	jesse-engreitz:encode_re2g_predictions_WTC11_ENCSR785ZUI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for ecto neural progenitor cell; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_NTR_0000474/	ENCSR360XIS	jesse-engreitz:encode_re2g_predictions_ecto_neural_progenitor_cell_ENCSR360XIS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for Right ventricle myocardium inferior; Donor: ENCDO520EJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_NTR_0000491/	ENCSR085MZL	jesse-engreitz:encode_re2g_predictions_Right_ventricle_myocardium_inferior_ENCSR085MZL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for Right ventricle myocardium superior; Donor: ENCDO520EJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_NTR_0000492/	ENCSR895GSY	jesse-engreitz:encode_re2g_predictions_Right_ventricle_myocardium_superior_ENCSR895GSY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left ventricle myocardium inferior; Donor: ENCDO520EJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_NTR_0000493/	ENCSR770OTB	jesse-engreitz:encode_re2g_predictions_left_ventricle_myocardium_inferior_ENCSR770OTB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left ventricle myocardium superior; Donor: ENCDO520EJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_NTR_0000494/	ENCSR355WAJ	jesse-engreitz:encode_re2g_predictions_left_ventricle_myocardium_superior_ENCSR355WAJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR100OSB	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR100OSB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO791UJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR478SWA	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR478SWA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO791UJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR396EWH	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR396EWH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR593OUE	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR593OUE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR778DWG	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR778DWG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO662KZD	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR386BOX	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR386BOX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD4-positive, alpha-beta T cell; Donor: ENCDO641WTL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000497/	ENCSR515PDV	jesse-engreitz:encode_re2g_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR515PDV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD4-positive, alpha-beta memory T cell; Donor: ENCDO791UJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000499/	ENCSR021YFW	jesse-engreitz:encode_re2g_predictions_activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR021YFW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD4-positive, alpha-beta memory T cell; Donor: ENCDO791UJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000499/	ENCSR720TCN	jesse-engreitz:encode_re2g_predictions_activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR720TCN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD8-positive, alpha-beta T cell; Donor: ENCDO166AGR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000502/	ENCSR518YYX	jesse-engreitz:encode_re2g_predictions_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR518YYX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD8-positive, alpha-beta T cell; Donor: ENCDO166AGR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000502/	ENCSR009MDC	jesse-engreitz:encode_re2g_predictions_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR009MDC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD8-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000502/	ENCSR044JIR	jesse-engreitz:encode_re2g_predictions_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR044JIR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated naive CD8-positive, alpha-beta T cell; Donor: ENCDO833KUM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000502/	ENCSR572HUG	jesse-engreitz:encode_re2g_predictions_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR572HUG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR167VIP	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR167VIP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR951MYM	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR951MYM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR653ISV	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR653ISV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR933VOY	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR933VOY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR534OJE	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR534OJE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR860IDO	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR860IDO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR171APM	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR171APM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR442SDV	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR442SDV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR971MMF	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR971MMF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO166AGR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR141RSN	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR141RSN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR565RQI	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR565RQI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR175OHT	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR175OHT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR950YTI	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR950YTI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO299FMV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR134CIY	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR134CIY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated CD8-positive, alpha-beta memory T cell; Donor: ENCDO923WRX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000504/	ENCSR274XTS	jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR274XTS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for activated B cell; Donor: ENCDO383AQS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000506/	ENCSR109DTU	jesse-engreitz:encode_re2g_predictions_activated_B_cell_ENCSR109DTU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for nephron progenitor cell; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_NTR_0000512/	ENCSR503UNA	jesse-engreitz:encode_re2g_predictions_nephron_progenitor_cell_ENCSR503UNA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of left biceps; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000521/	ENCSR562ACY	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_left_biceps_ENCSR562ACY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of left biceps; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000521/	ENCSR648GDP	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_left_biceps_ENCSR648GDP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of left quadriceps; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000522/	ENCSR371KRY	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_left_quadriceps_ENCSR371KRY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of left quadriceps; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000522/	ENCSR555TFE	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_left_quadriceps_ENCSR555TFE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of right quadriceps; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_NTR_0000523/	ENCSR217RVH	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_right_quadriceps_ENCSR217RVH	encode:re2g_modelV2.0.0	
